PLANTING.ORDER,BOX,PASS,RANGE,UNIQUE,trial,field,gid,plot,PACKING.ORDER,line01,line02,line03
1,BOX-1_1,PASS_1,RANGE_1,FILL-M461-23_Urb_FB_1,FILL-M461-23,Urb,FB,1,1,SO: 1 id: FB,1;P:1-R:1,Urb_FILL-23
2,BOX-1_2,PASS_1,RANGE_2,FILL-M461-23_Urb_FB_2,FILL-M461-23,Urb,FB,2,2,SO: 2 id: FB,2;P:1-R:2,Urb_FILL-23
3,BOX-1_3,PASS_1,RANGE_3,FILL-M461-23_Urb_FB_3,FILL-M461-23,Urb,FB,3,3,SO: 3 id: FB,3;P:1-R:3,Urb_FILL-23
4,BOX-1_4,PASS_1,RANGE_4,FILL-M461-23_Urb_FB_4,FILL-M461-23,Urb,FB,4,4,SO: 4 id: FB,4;P:1-R:4,Urb_FILL-23
5,BOX-1_5,PASS_1,RANGE_5,FILL-M461-23_Urb_FB_5,FILL-M461-23,Urb,FB,5,5,SO: 5 id: FB,5;P:1-R:5,Urb_FILL-23
6,BOX-1_6,PASS_1,RANGE_6,FILL-M461-23_Urb_FB_6,FILL-M461-23,Urb,FB,6,6,SO: 6 id: FB,6;P:1-R:6,Urb_FILL-23
7,BOX-2_1,PASS_2,RANGE_6,FILL-M461-23_Urb_FB_8,FILL-M461-23,Urb,FB,8,8,SO: 7 id: FB,8;P:2-R:6,Urb_FILL-23
8,BOX-2_2,PASS_2,RANGE_5,iCrop-UIUC-23_M461_GOPHERxND Dawn_425,iCrop-UIUC-23,M461,GOPHERxND Dawn,425,86,SO: 8 id: GOPHERxND Dawn,86;P:2-R:5,M461_iCrop-UIUC-23
9,BOX-2_3,PASS_2,RANGE_4,iCrop-UIUC-23_M461_ND161488xNDP140510Y_301,iCrop-UIUC-23,M461,ND161488xNDP140510Y,301,114,SO: 9 id: ND161488xNDP140510Y,114;P:2-R:4,M461_iCrop-UIUC-23
10,BOX-2_4,PASS_2,RANGE_3,iCrop-UIUC-23_M461_BUCKSKINxDS Admiral_225,iCrop-UIUC-23,M461,BUCKSKINxDS Admiral,225,71,SO: 10 id: BUCKSKINxDS Admiral,71;P:2-R:3,M461_iCrop-UIUC-23
11,BOX-2_5,PASS_2,RANGE_2,iCrop-UIUC-23_M461_CORRALxdelta field_101,iCrop-UIUC-23,M461,CORRALxdelta field,101,75,SO: 11 id: CORRALxdelta field,75;P:2-R:2,M461_iCrop-UIUC-23
12,BOX-2_6,PASS_2,RANGE_1,FILL-M461-23_Urb_FB_7,FILL-M461-23,Urb,FB,7,7,SO: 12 id: FB,7;P:2-R:1,Urb_FILL-23
13,BOX-3_1,PASS_3,RANGE_1,FILL-M461-23_Urb_FB_9,FILL-M461-23,Urb,FB,9,9,SO: 13 id: FB,9;P:3-R:1,Urb_FILL-23
14,BOX-3_2,PASS_3,RANGE_2,iCrop-UIUC-23_M461_EXCELxNDP150412G_102,iCrop-UIUC-23,M461,EXCELxNDP150412G,102,82,SO: 14 id: EXCELxNDP150412G,82;P:3-R:2,M461_iCrop-UIUC-23
15,BOX-3_3,PASS_3,RANGE_3,iCrop-UIUC-23_M461_GOLIATHxND Victory_224,iCrop-UIUC-23,M461,GOLIATHxND Victory,224,84,SO: 15 id: GOLIATHxND Victory,84;P:3-R:3,M461_iCrop-UIUC-23
16,BOX-3_4,PASS_3,RANGE_4,iCrop-UIUC-23_M461_SD170935xDS Admiral_302,iCrop-UIUC-23,M461,SD170935xDS Admiral,302,137,SO: 16 id: SD170935xDS Admiral,137;P:3-R:4,M461_iCrop-UIUC-23
17,BOX-3_5,PASS_3,RANGE_5,iCrop-UIUC-23_M461_HORSEPOWERxND Dawn_424,iCrop-UIUC-23,M461,HORSEPOWERxND Dawn,424,90,SO: 17 id: HORSEPOWERxND Dawn,90;P:3-R:5,M461_iCrop-UIUC-23
