Accession	Female_Parent	Male_Parent	Cross_Type
00006-9-2-18	1873-1-33	OA176	biparental
00039-H-13	OA123-1-H-38	3932-16	biparental
00041-H-6	OA123-3-134	3932-16	biparental
00072-3-5	1873-5-29	RODNEY|PI290100	biparental
02540-3-7-2	5279A1B-2B-333	DONALD	biparental
02549-4-A	DC739-7	OA400-2	biparental
02821-2-B	02549-4-A	OA424-1	biparental
02988-3	02821-2-B	OA475-1	biparental
03280	DONALD	FIDLER|CIAV9391	biparental
03445	DONALD	03280	biparental
03445-5	DONALD	03280	biparental
03632	03445	OT220	biparental
03654	03445-5	DONALD	biparental
03703	03632	DONALD	biparental
03706	DONALD	03654	biparental
03882	DONALD	03703	biparental
03887	DONALD	03706	biparental
03918	HAZEL	DONALD	biparental
03922	OGLE	DUMONT	biparental
04152	DONALD	DUMONT	biparental
04186	03882	DONALD	biparental
04202-228	03918	03887	biparental
04207	04152	DONALD	biparental
04323	03922	OGLE	biparental
04348	04186	TIBOR	biparental
04352	04207	DONALD	biparental
04376	04323	OGLE	biparental
04554	02988-3	04202-228	biparental
06880	OA952-3	4629	biparental
1873-1-33	CAV2700	GEMINI	biparental
1873-5-29	CAV2700	GEMINI	biparental
3932-16	BEACON	LAUREL_CANADA	biparental
3932-3	BEACON	LAUREL_CANADA	biparental
4229-960	SELECTION35-1309-8	BEACON	biparental
4367-15-1	UNNAMED7906	CLINTON|CIAV3971	biparental
4441	04352	DONALD	biparental
4629	Oxford Dwarf	4441	biparental
4749-95-1	UNNAMED8351	BEAVER|CIAV4521	biparental
4Cn3/1/3/58	Kyko	WINTER_TURF|CORE	biparental
5279A1B-2B-333	ALAMO	UNNAMED4852	biparental
5315	3932-3	RL2105	biparental
5316	AJAX|PI290071	Moskovskij 315	biparental
5320	4367-15-1	ROXTON|PI290072	biparental
5545	5316	5315	biparental
5546	3932-3	5320	biparental
602Cn	BOUNTIFUL|PI62278	WINTER_TURF|CORE	biparental
6-434-S67-AB-3416			
90GC142_143	UNNAMED7010	DUMONT	biparental
90GC144	UNNAMED7016	ROBERT	biparental
A10			
A11			
A25			
AB101	CD4549	CD3820|CIAV9021	biparental
Ab. 5088	BLACK_MESDAG|PI93284	AB101	biparental
Ab71-36			
ABED_SILVER	SWEDISH_SELECT|CIAV1105	SWEDISH_SELECT|CIAV1105	biparental
ABUNDANCE|CIAV2038	PROBSTEIER|PI290099	PROBSTEIER|PI290099	biparental
AC_ASSINIBOIA	90GC144	ROBERT	biparental
AC_MEDALLION	90GC142_143	DUMONT	biparental
AJAX|PI290071	VICTORY|PI78588	HAJIRA	biparental
ALAMO	RL1273	UNNAMED2619	biparental
ALBION|PI125176	KHERSON|PI80220	KHERSON|PI80220	biparental
ALGERIAN|PI80218			
ALLEN	UNNAMED4878	UNNAMED6500	biparental
AMAGALON	AVENA_MAGNA	Avena longiglumis Durieu	biparental
ANDREW	BOND|PI80229	RAINBOW	biparental
APPLER|CIAV1815	RED_RUSTPROOF|CIAV1451	RED_RUSTPROOF|CIAV1451	biparental
ARKANSAS674_2-39F	UKRAINE|CIAV7007	UNNAMED6895	biparental
ARLINGTON	UNNAMED7196	FULWIN	biparental
ASCENSAO			
ASTRO	ALAMO	UNNAMED5461	biparental
AURORA	APPLER|CIAV1815	APPLER|CIAV1815	biparental
Avena longiglumis Durieu			
AVENA_MAGNA			
Avena sterilis L. (CW490-2)			
AVON	BALLIDU|PI265443	M59	biparental
BAKER	BLAZE	VISTA	biparental
BALLIDU|PI265443	MULGA|PI88516	EARLY_BURT|CIAV3061	biparental
BANNER|CIAV806			
BANNOCK	MARKTON	VICTORY|PI78588	biparental
BAY	HAZEL	WI_X4033-2	biparental
BEACON			
BEAVER|CIAV4521	VANGUARD|PI128164	ERBAN|CIAV5337	biparental
BEEDEE	BEACON	UNNAMED4877	biparental
BELAR|PI80718	SUNRISE|PI80242	SUNRISE|PI80242	biparental
BELLE	DON	WI_X3969-2	biparental
BENSON	PORTAGE	BURNETT	biparental
BETTONG	UNNAMED11728	UNNAMED11727	biparental
BIG_BOY			
BINDER|PI173231	Carstens III	Carstens III	biparental
BLACK_MESDAG|PI93284	BLACK_PRESIDENT	BLACK_PRESIDENT	biparental
BLACK_PRESIDENT			
BLACK_TARTAR|PI48085			
BLACK_WINTER			
Blanche de Siberie			
BLAZE	IL83-7646	NEWDAK	biparental
BLUNT_SPIKE_PORTAL	WI_X652	GARLAND	biparental
BOND|PI80229			
BOONE	VICTORIA|CIAV7002	RICHLAND|CIAV787	biparental
BOUNTIFUL|PI62278	UNNAMED5517	UNNAMED5520	biparental
BRANCH	WI_X219-3	FORWARD	biparental
BRAVE	PUTNAM	UNNAMED2618	biparental
BRAWN	UNNAMED11598	DON	biparental
BUCKSKIN	AC_ASSINIBOIA	IL92-6728	biparental
BURNETT	RL1273	COLO	biparental
BURT|CIAV2684	RED_RUSTPROOF|CIAV1451	RED_RUSTPROOF|CIAV1451	biparental
CANADA_CLUSTER|CIAV999	UNNAMED6232	WHITE_CANADIAN	biparental
Canadian White			
Carstens I	UNNAMED5795	UNNAMED5795	biparental
Carstens II	Carstens I	SWEDISH_SELECT|CIAV1105	biparental
Carstens III	Carstens II	Von Lochow's Gelbhafer	biparental
CARTIER|CIAV6692	TOBOLSK	EARLY_TRIUMPH	biparental
CASCADE	RANDOM	FORWARD	biparental
CAV2647			
CAV2700			
CAV4904			
CAV5165			
CAVELL	OT7003	GLEN	biparental
CD3737			
CD3820|CIAV9021			
CD4549			
Cebeco 725			
