"Date of Download: 2023-03-07_02:17:11"
"Search Parameters: Data Level:all  Trait List:77328,77210,77275,77325  Trial List:4997,5005,4988,5013,5012,5007,4985,4987,4981,4994  Accession List:499634,499632,499633,98740,95177,201748,201753,202106,202122,97331,510822,516519,510803,526652,85606,510809,531139,531140,531141,531142,526639,201454,201479  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Grain yield - g/m2|CO_350:0000260","Heading date - Julian day|CO_350:0000270","Plant height - cm|CO_350:0000232","Test weight - g/L|CO_350:0000259","notes"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4981","UEOPN_2022_Urbana","UEO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-11","140","Urbana, IL","510809","SD181377","SD181377","plot","540241","UEO_Urb_22_101","1","1","101","1","1","test","","156.560328","162","81.28","286.53072","7/11/2022, 2:26:17 PM, Tare Warning, Moisture: 9.50 : 7/11/2022, 2:26:17 PM, Tare Warning, Test Weight: 9.87 (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4981","UEOPN_2022_Urbana","UEO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-11","140","Urbana, IL","201479","WI_X10680-3","WI X10680-3,WIX10680-3,X10680-3","plot","540275","UEO_Urb_22_102","1","1","102","1","2","test","","210.540464","166","66.04","257.56872","7/11/2022, 2:49:59 PM, Tare Warning, Weight: 2.57 : 7/11/2022, 2:49:59 PM, Tare Warning, Test Weight: 9.87 (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4981","UEOPN_2022_Urbana","UEO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-11","140","Urbana, IL","95177","DON","Don,DON (ck),Don Oat,GBR005 02608,GBR011 2608,IL75-5860","plot","540211","UEO_Urb_22_103","1","1","103","1","3","test","","197.6641392","157","60.96","285.7584","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4981","UEOPN_2022_Urbana","UEO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-11","140","Urbana, IL","510822","MN18015X_004","MN-18015X-004,MN18015X-004,MN18015X004","plot","540222","UEO_Urb_22_104","1","1","104","1","4","test","","232.9933312","159","66.04","363.634","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4981","UEOPN_2022_Urbana","UEO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-11","140","Urbana, IL","97331","KAME","Kame,KAME (ck),WI X8177-1,WI-X8177-1,WIX8177-1","plot","540261","UEO_Urb_22_105","1","1","105","1","5","test","","213.6967776","159","76.2","297.9868","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4981","UEOPN_2022_Urbana","UEO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-11","140","Urbana, IL","531139","SD190323","","plot","540262","UEO_Urb_22_106","1","1","106","1","6","test","","258.6742464","161","76.2","343.55368","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4981","UEOPN_2022_Urbana","UEO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-11","140","Urbana, IL","201454","WI_X10677-3","WI X10677-3,WIX10677-3,X10677-3","plot","540276","UEO_Urb_22_109","1","1","109","1","9","test","","296.1554704","163","71.12","298.6304","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4981","UEOPN_2022_Urbana","UEO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-11","140","Urbana, IL","526652","MN19104X_016","MN-19104X-016,MN19104X-016,MN19104X016","plot","540250","UEO_Urb_22_110","1","1","110","1","10","test","","218.3953808","162","71.12","332.7412","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4981","UEOPN_2022_Urbana","UEO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-11","140","Urbana, IL","499634","A10","A10","plot","540231","UEO_Urb_22_111","1","1","111","1","11","test","","175.9644832","163","50.8","282.5404","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4981","UEOPN_2022_Urbana","UEO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-11","140","Urbana, IL","531141","SD190992","","plot","540258","UEO_Urb_22_112","1","1","112","1","12","test","","290.7395232","164","76.2","446.27224","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
