"Date of Download: 2023-03-07_02:19:02"
"Search Parameters: Data Level:all  Trait List:77328,77210,77275,77325  Trial List:4976,4990,4996,5008,4992,5006,4986,4993  Accession List:100774,102429,202018,202026,202106,202123,102599,510819,531123,531124,531125,499626,499610,510811,510820,510807,510821,526536,88226,97779,510817,531127,531128,531129,510800,510806,510808,510798,510804,526640,499616,201413,201443,201461  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Grain yield - g/m2|CO_350:0000260","Heading date - Julian day|CO_350:0000270","Plant height - cm|CO_350:0000232","Test weight - g/L|CO_350:0000259","notes"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4976","UMOPN_2022_Urbana","UMO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-20","140","Urbana, IL","499610","ND161488","ND161488","plot","538733","UMO_Urb_22_101","1","1","101","1","1","test","","137.1203056","163","81.28","283.8276","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4976","UMOPN_2022_Urbana","UMO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-20","140","Urbana, IL","531129","OT7100","","plot","538751","UMO_Urb_22_102","1","1","102","1","2","test","","279.6565584","164","71.12","281.12448","7/20/2022, 10:04:22 AM, Tare Warning, Moisture: 5.80 : 7/20/2022, 10:04:22 AM, Tare Warning, Test Weight: 4.35 (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4976","UMOPN_2022_Urbana","UMO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-20","140","Urbana, IL","510806","SD180580","SD180580","plot","538682","UMO_Urb_22_103","1","1","103","1","3","test","","181.7032352","164","66.04","419.6272","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4976","UMOPN_2022_Urbana","UMO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-20","140","Urbana, IL","201413","WI_X10642-3","WI X10642-3,WI-X10642-3,WIX10642-3,X10642-3","plot","538696","UMO_Urb_22_104","1","1","104","1","4","test","","68.4346176","164","45.72","352.17792","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4976","UMOPN_2022_Urbana","UMO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-20","140","Urbana, IL","88226","NEWBURG","ND030365,NEWBERG,Newburg,Newburg (ck)","plot","538734","UMO_Urb_22_105","1","1","105","1","5","test","","189.6298864","163","81.28","266.70784","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4976","UMOPN_2022_Urbana","UMO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-20","140","Urbana, IL","510817","OT2130","OT2130","plot","538735","UMO_Urb_22_106","1","1","106","1","6","test","","117.3933456","167","66.04","339.1772","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4976","UMOPN_2022_Urbana","UMO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-20","140","Urbana, IL","510800","SD170935","SD170935","plot","538709","UMO_Urb_22_107","1","1","107","1","7","test","","115.3489152","167","71.12","340.97928","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4976","UMOPN_2022_Urbana","UMO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-20","140","Urbana, IL","510821","ND170395","ND170395","plot","538710","UMO_Urb_22_108","1","1","108","1","8","test","","101.9704496","166","71.12","344.06856","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4976","UMOPN_2022_Urbana","UMO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-20","140","Urbana, IL","510798","SD181237","SD181237","plot","538752","UMO_Urb_22_109","1","1","109","1","9","test","","169.47252","166","81.28","427.3504","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","4382","Uniform Oat Performance Nursery","The Uniform Oat Performance Nursery","4976","UMOPN_2022_Urbana","UMO Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-19","2022-July-20","140","Urbana, IL","201461","WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7","plot","538671","UMO_Urb_22_110","1","1","110","1","10","test","","180.3402816","164","50.8","369.81256","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
