Date of Download: 2023-03-07_15:00:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Search Parameters: Data Level:all  Trait List:77328,77210,77275,77325  Trial List:4974,4975  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,Grain yield - g/m2|CO_350:0000260,Heading date - Julian day|CO_350:0000270,Plant height - cm|CO_350:0000232,Test weight - g/L|CO_350:0000259,notes
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",202134,IL17-8278,17-8278,plot,538450,Drl_Mon_22_1001,2,2,1001,12,10,test,,577.999928,,91.44,406.7552,"(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",510812,SADDLE,"Saddle,SD120296",plot,538421,Drl_Mon_22_1002,2,2,1002,11,10,test,,586.5363216,,91.44,404.1808,"(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",201827,IL16-11441,16-11441,plot,538345,Drl_Mon_22_1003,2,2,1003,10,10,test,,515.1964608,,91.44,385.13024,"lodging (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",201753,IL15-5752,15-5752,plot,538346,Drl_Mon_22_1004,2,2,1004,9,10,test,,569.3200656,,88.9,435.0736,"(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",503172,IL18-4663,18-4663,plot,538372,Drl_Mon_22_1005,2,2,1005,8,10,test,,456.41012,,93.98,379.46656,"lodging  (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",503176,IL18-3639,18-3639,plot,538373,Drl_Mon_22_1006,2,2,1006,7,10,test,,561.1064768,,96.52,432.37048,"(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",503112,IL18-8244,18-8244,plot,538316,Drl_Mon_22_1007,2,2,1007,6,10,test,,511.645608,,86.36,444.59888,"(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",99144,IL14-8142,14-8142,plot,538448,Drl_Mon_22_1008,2,2,1008,5,10,test,,532.5203184,,76.2,401.09152,"(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",202045,IL17-2965,17-2965,plot,538465,Drl_Mon_22_1009,2,2,1009,4,10,test,,543.8184864,,81.28,399.41816,"(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",503112,IL18-8244,18-8244,plot,538440,Drl_Mon_22_101,1,1,101,1,1,test,,530.1530832,,86.36,433.52896,"(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",107663,P02A17815,PO2A17815,plot,538386,Drl_Mon_22_1010,2,2,1010,3,10,test,,527.606512,,91.44,397.35864,"(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",503199,IL18-8722,18-8722,plot,538341,Drl_Mon_22_1011,2,2,1011,2,10,test,,576.4576384,,86.36,426.83552,"(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",201731,IL15-2368,15-2368,plot,538420,Drl_Mon_22_1012,2,2,1012,1,10,test,,466.3094672,,73.66,392.85344,"(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",201754,IL15-5760,15-5760,plot,538416,Drl_Mon_22_102,1,1,102,2,1,test,,527.3913088,,86.36,432.62792,"(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",97779,OGLE,"03C0700697,IL 73-2664,IL73-2664,Illinois 73-2664,Ogle,OGLE (ck),RL 1475,TLVA5829,TLVA5908,W87678",plot,538444,Drl_Mon_22_103,1,1,103,3,1,test,,587.3971344,,96.52,352.17792,"(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
2022,371,University of Illinois,"University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez",4974,Drl_Mon_22,"Drl Yield Trial at Monmouth, IL [2022]",RCBD,1.33,4.5,,,,2022-March-29,2022-July-19,105,"Monmouth, IL",85606,NATTY,"Natty,NATTY (ck),SD111779",plot,538443,Drl_Mon_22_104,1,1,104,4,1,test,,453.8635488,,106.68,420.9144,"(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
