"Date of Download: 2023-02-26_16:45:33"
"Search Parameters: Data Level:all  Trait List:77328,77210,77275,77325  Trial List:4975  Accession List:85346,85417,85606,87218,87885,88062,88226,97779,97939,97970,98469,98592,99318,100173,101253,102120,102599,108381,202018,106372,202122,202123,499042,510812  Plot List:  Plant List:  Location List:  Year List:2022  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Grain yield - g/m2|CO_350:0000260","Heading date - Julian day|CO_350:0000270","Plant height - cm|CO_350:0000232","Test weight - g/L|CO_350:0000259","notes"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","85346","HORSEPOWER","Horsepower,SD081936","plot","538616","Drl_Urb_22_1009","2","2","1009","4","10","test","","306.5569584","164","76.2","342.26648","B-- (Operator: arbelaez, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","97779","OGLE","03C0700697,IL 73-2664,IL73-2664,Illinois 73-2664,Ogle,OGLE (ck),RL 1475,TLVA5829,TLVA5908,W87678","plot","538640","Drl_Urb_22_103","1","1","103","3","1","test","","269.7930784","164","71.12","292.58056","B-- (Operator: arbelaez, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","100173","BUCKSKIN","Buckskin,IL 99-1338,IL99-1338","plot","538634","Drl_Urb_22_108","1","1","108","8","1","test","","281.9879264","162","71.12","321.1564","A-- (Operator: arbelaez, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","108381","EXCEL","Excel","plot","538546","Drl_Urb_22_110","1","1","110","10","1","test","","288.4798896","164","81.28","338.14744","B-- (Operator: arbelaez, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","108381","EXCEL","Excel","plot","538636","Drl_Urb_22_1105","3","3","1105","5","11","test","","351.9289664","166","81.28","401.09152","(Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ), VB-- (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","102120","SD120419","Warrior","plot","538553","Drl_Urb_22_1110","3","3","1110","10","11","test","","297.0880176","166","81.28","360.15856","B-- (Operator: arbelaez, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","202018","IL17-1253","17-1253","plot","538505","Drl_Urb_22_1112","3","3","1112","12","11","test","","258.7459808","166","71.12","368.91152","B-- (Operator: arbelaez, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","97970","ESKER","Esker,WI X8179-2,WIX8179-2","plot","538504","Drl_Urb_22_112","1","1","112","12","1","test","","111.4393904","164","71.12","337.37512","B--BYDV_ (Operator: arbelaez, Time: ), BYDV_ (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), BYDV_ (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","85346","HORSEPOWER","Horsepower,SD081936","plot","538633","Drl_Urb_22_1203","3","3","1203","10","12","test","","331.5563968","164","76.2","335.05816","B-- (Operator: arbelaez, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","85417","REINS","IL06-5433,Reins","plot","538529","Drl_Urb_22_1205","3","3","1205","8","12","test","","362.796728","162","66.04","380.62504","A-- (Operator: arbelaez, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","202123","IL17-7339","17-7339","plot","538589","Drl_Urb_22_1207","3","3","1207","6","12","test","","238.51688","164","60.96","314.7204","B-- (Operator: arbelaez, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","97939","SABER","CV-377,IL02-8658","plot","538590","Drl_Urb_22_1208","3","3","1208","5","12","test","","138.2321888","163","76.2","312.40344","B-- (Operator: arbelaez, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","97779","OGLE","03C0700697,IL 73-2664,IL73-2664,Illinois 73-2664,Ogle,OGLE (ck),RL 1475,TLVA5829,TLVA5908,W87678","plot","538648","Drl_Urb_22_1209","3","3","1209","4","12","test","","327.2523328","164","81.28","306.73976","B-- (Operator: arbelaez, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","98469","COLT","2015,Colt,Colt (RPB 50-75),GBR005 02015,GBR011 2015,POL003 50434,RPB 5075,SD020883-29","plot","538624","Drl_Urb_22_1303","3","3","1303","3","13","test","","252.6126896","160","81.28","364.14888","B-- (Operator: arbelaez, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","499042","RUSHMORE","Rushmore,SD140515","plot","538593","Drl_Urb_22_1310","3","3","1310","10","13","test","","294.7207824","165","86.36","405.08184","B-- (Operator: arbelaez, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
"2022","371","University of Illinois","University of Illinois, IL-USA. Institution: University of Illinois. Collaborator: Juan David Arbelaez","4975","Drl_Urb_22","Drl Yield Trial at Urbana, IL [2022]","RCBD","1.33","4.5","","","","2022-April-21","2022-July-14","140","Urbana, IL","202122","IL17-7334","17-7334","plot","538527","Drl_Urb_22_1402","3","3","1402","11","14","test","","265.2738112","164","60.96","277.13416","G-- (Operator: arbelaez, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: ) (Operator: dwaring87, Time: ), (Operator: arbelaez, Time: ) (Operator: dwaring87, Time: )"
